asset_name,longitude,latitude,image_names
Parking lot 7,73.0049496892297,19.15211247589279,DJI_0039,DJI_0064,DJI_0083,DJI_0131,DJI_0177,DJI_0178,DJI_0181,DJI_0284,DJI_0285,DJI_0286,DJI_0287,DJI_0293,DJI_0338,DJI_0357
Recreation centre,73.00352277623703,19.15219635606842,DJI_0049,DJI_0056,DJI_0111,DJI_0141,DJI_0168,DJI_0177,DJI_0178,DJI_0185,DJI_0186,DJI_0187,DJI_0188,DJI_0189,DJI_0190,DJI_0225,DJI_0226,DJI_0241,DJI_0242,DJI_0275,DJI_0276,DJI_0277,DJI_0278,DJI_0279,DJI_0280,DJI_0293,DJI_0301,DJI_0302,DJI_0330,DJI_0342,DJI_0348,DJI_0431,DJI_0443,DJI_0502
Canteen,73.00352277623703,19.15219635606842,DJI_0049,DJI_0056,DJI_0111,DJI_0141,DJI_0168,DJI_0177,DJI_0178,DJI_0185,DJI_0186,DJI_0187,DJI_0188,DJI_0189,DJI_0190,DJI_0225,DJI_0226,DJI_0241,DJI_0242,DJI_0275,DJI_0276,DJI_0277,DJI_0278,DJI_0279,DJI_0280,DJI_0293,DJI_0301,DJI_0302,DJI_0330,DJI_0342,DJI_0348,DJI_0431,DJI_0443,DJI_0502
Indoor heated swimming pool,73.00352277680219,19.15234342008333,DJI_0050,DJI_0055,DJI_0094,DJI_0167,DJI_0179,DJI_0183,DJI_0184,DJI_0191,DJI_0192,DJI_0224,DJI_0225,DJI_0226,DJI_0227,DJI_0241,DJI_0277,DJI_0278,DJI_0279,DJI_0294,DJI_0295,DJI_0299,DJI_0300,DJI_0331,DJI_0341,DJI_0405,DJI_0406,DJI_0444
